N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"75,300",0,0.00%,100,"4,495,246","5,969,783",51.81,"10,039,317",15.86,9.99,
2,SK하이닉스,"105,000","2,000",+1.94%,"5,000","764,402","728,002",46.56,"1,974,938",13.14,9.53,
3,NAVER,"410,000","11,000",+2.76%,100,"673,480","164,263",56.80,"1,322,189",4.08,15.22,
4,삼성바이오로직스,"925,000","12,000",+1.31%,"2,500","612,026","66,165",10.55,"59,416",182.81,N/A,
5,삼성전자우,"70,700","1,000",-1.39%,100,"581,781","822,887",75.28,"1,162,955",14.89,N/A,
6,카카오,"130,000","1,500",+1.17%,100,"578,490","444,992",31.28,"9,849,102",121.16,2.70,
7,LG화학,"740,000","8,000",-1.07%,"5,000","522,383","70,592",46.26,"254,897",19.93,2.93,
8,삼성SDI,"750,000","1,000",+0.13%,"5,000","515,734","68,765",44.73,"179,815",55.57,4.54,
9,현대차,"206,500","2,000",-0.96%,"5,000","441,225","213,668",28.57,"675,189",14.96,2.04,
10,셀트리온,"267,500","1,500",-0.56%,"1,000","368,975","137,935",20.76,"387,019",62.72,16.68,
11,기아,"82,500","3,500",-4.07%,"5,000","334,425","405,363",34.50,"3,954,576",9.63,5.05,
12,카카오뱅크,"68,900","3,100",-4.31%,"5,000","327,344","475,100",5.54,"6,450,463",222.98,5.08,
13,POSCO,"360,000",500,+0.14%,"5,000","313,873","87,187",54.86,"308,548",8.14,3.61,
14,현대모비스,"268,000","9,000",-3.25%,"5,000","254,045","94,793",35.48,"399,037",11.50,4.66,
15,삼성물산,"129,000","1,500",+1.18%,100,"241,084","186,887",15.11,"260,887",14.71,3.81,
16,LG전자,"146,500","5,000",+3.53%,"5,000","239,744","163,648",30.92,"1,845,255",17.73,13.23,
17,SK이노베이션,"250,000","3,000",+1.21%,"5,000","231,164","92,466",22.93,"385,594",-51.79,-13.58,
18,SK바이오사이언스,"299,500","1,500",+0.50%,500,"229,118","76,500",4.74,"489,894",145.88,13.25,
19,SK텔레콤,"307,000","5,500",+1.82%,500,"221,225","72,060",44.60,"232,785",11.66,6.44,
20,크래프톤,"447,000","28,000",-5.89%,100,"218,813","48,951",5.98,"781,360",38.48,61.86,
21,LG생활건강,"1,387,000","13,000",+0.95%,"5,000","216,624","15,618",45.25,"31,123",29.12,17.92,
22,KB금융,"51,500",300,-0.58%,"5,000","214,141","415,808",67.58,"1,355,752",5.08,8.53,
23,신한지주,"38,250",500,-1.29%,"5,000","197,599","516,600",60.25,"1,105,043",4.95,8.20,
24,SK,"263,000","2,500",+0.96%,200,"185,048","70,360",19.64,"137,772",16.98,1.11,
25,SK아이이테크놀로지,"225,500","15,500",+7.38%,"1,000","160,776","71,298",9.10,"978,048",148.26,11.00,
26,HMM,"38,250",250,+0.66%,"5,000","155,063","405,392",9.54,"2,794,907",24.22,8.93,
27,한국전력,"23,350",200,+0.86%,"5,000","149,899","641,964",15.08,"1,389,243",12.57,2.91,
28,LG,"94,400",900,+0.96%,"5,000","148,492","157,301",33.43,"139,054",5.91,7.50,
29,삼성생명,"73,700",500,+0.68%,500,"147,400","200,000",13.01,"157,716",8.41,3.53,
30,삼성전기,"188,000","7,000",+3.87%,"5,000","140,424","74,694",32.70,"647,132",16.39,10.92,
31,엔씨소프트,"607,000","4,000",-0.65%,500,"133,261","21,954",46.44,"189,233",32.58,20.83,
32,하나금융지주,"43,500",450,-1.02%,"5,000","130,605","300,242",68.18,"1,089,607",4.29,8.96,
33,삼성에스디에스,"168,000","1,000",+0.60%,500,"129,995","77,378",11.63,"90,409",20.18,6.71,
34,포스코케미칼,"154,000",0,0.00%,500,"119,293","77,463",7.95,"359,401",111.27,2.96,
35,아모레퍼시픽,"194,500",500,+0.26%,500,"113,702","58,458",32.86,"321,760",90.26,0.78,
36,KT&G,"81,600",300,+0.37%,"5,000","112,031","137,292",37.23,"279,114",10.12,13.22,
37,대한항공,"31,300","1,100",+3.64%,"5,000","108,868","347,821",11.49,"4,071,103",16.29,-7.22,
38,S-Oil,"96,400",300,-0.31%,"2,500","108,530","112,583",78.14,"198,139",12.40,-13.07,
39,삼성화재,"228,000","5,000",+2.24%,500,"108,015","47,375",48.74,"75,145",10.80,4.96,
40,넷마블,"122,500",0,0.00%,100,"105,293","85,954",22.59,"159,234",36.80,6.35,
41,두산중공업,"20,400",500,-2.39%,"5,000","105,265","516,006",9.33,"3,408,180",-48.46,-37.20,
42,하이브,"269,500","8,500",-3.06%,500,"105,242","39,051",16.70,"740,395",95.87,12.52,
43,고려아연,"508,000","2,000",+0.40%,"5,000","95,860","18,870",20.01,"37,912",13.25,8.37,
44,SK바이오팜,"113,500","1,000",-0.87%,500,"88,886","78,313",6.72,"237,165",-150.13,-135.18,
45,한온시스템,"16,050",200,+1.26%,100,"85,675","533,800",18.08,"673,167",29.45,5.09,
46,KT,"32,750",150,+0.46%,"5,000","85,514","261,112",44.19,"615,930",9.35,4.76,
47,롯데케미칼,"248,500",0,0.00%,"5,000","85,174","34,275",26.59,"95,649",7.12,1.22,
48,한국조선해양,"114,000","5,500",+5.07%,"5,000","80,681","70,773",18.44,"335,797",-5.21,-7.42,
49,한화솔루션,"42,100",300,+0.72%,"5,000","80,528","191,278",17.75,"871,338",10.44,5.30,
50,우리금융지주,"10,950",150,+1.39%,"5,000","79,723","728,061",28.33,"2,106,562",3.83,5.87,
